6000
Load data
RNN type: UNI Grammar: g1 Seed: 1
Model total parameters: 3780
Saving hinit ... 

Epoch:5 Len:9 Cost:0.1533 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:10 Cost:0.0974 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:5 Len:11 Cost:0.0727 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:12 Cost:0.0772 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:13 Cost:0.0681 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:16 Cost:0.0222 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:19 Cost:0.0089 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:5 Len:22 Cost:0.0282 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:1 Cost:1.3039 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:2 Cost:2.9218 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:3 Cost:0.6634 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:4 Cost:0.8076 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:5 Cost:0.5172 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:6 Cost:0.3087 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:7 Cost:0.1614 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:8 Cost:0.1874 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:9 Cost:0.0914 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:10 Cost:0.0817 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:6 Len:11 Cost:0.0255 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:12 Cost:0.0461 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:13 Cost:0.0329 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:16 Cost:0.0486 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:19 Cost:0.0317 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:6 Len:22 Cost:0.0425 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:1 Cost:1.0454 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:2 Cost:3.1313 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:3 Cost:0.3712 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:4 Cost:0.4430 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:5 Cost:0.3631 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:6 Cost:0.1642 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:7 Cost:0.0957 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:8 Cost:0.1476 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:9 Cost:0.1257 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:10 Cost:0.0647 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:7 Len:11 Cost:0.0277 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:12 Cost:0.0578 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:13 Cost:0.0159 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:16 Cost:0.0175 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:19 Cost:0.0078 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:7 Len:22 Cost:0.0248 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:1 Cost:0.4510 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:2 Cost:1.6033 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:3 Cost:0.2922 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:4 Cost:0.3173 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:5 Cost:0.2006 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:6 Cost:0.0755 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:7 Cost:0.0349 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
